Game Title                                    Console                                                               Publisher                               VGChartz Score    Critic Score    User Score    Total Shipped    Release Date    Last Update    genre
Call of Duty: Black Ops                       /games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg           Activision                              N/A               8.8             N/A           N/A              09th Nov 10     N/A            Shooter
Lego Batman                                   /games/boxart/full_6446703AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           14.40m           23rd Sep 08     20th Jul 21    Action-Adventure
Call of Duty: Modern Warfare 3                /games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg  Activision                              N/A               8.7             N/A           N/A              08th Nov 11     N/A            Shooter
Grand Theft Auto III                          /games/boxart/full_9811365AmericaFrontccc.jpg                         Rockstar Games                          N/A               N/A             N/A           14.50m           22nd Oct 01     14th Oct 20    Action-Adventure
New Super Mario Bros. U Deluxe                /games/boxart/full_4959961AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             6.6           14.75m           11th Jan 19     02nd Aug 20    Platform
Gran Turismo 3: A-Spec                        /games/boxart/full_5113832AmericaFrontccc.jpg                         Sony Computer Entertainment             N/A               9.3             N/A           14.89m           09th Jul 01     N/A            Racing
Pokémon Brilliant Diamond / Shining Pearl     /games/boxart/full_6071133AmericaFrontccc.png                         Nintendo                                2.5               N/A             N/A           14.92m           19th Nov 21     26th Feb 21    Role-Playing
Mario & Sonic at the Olympic Games            /games/boxart/full_4897267AmericaFrontccc.jpg                         Sega                                    N/A               N/A             N/A           15.00m           06th Nov 07     09th Nov 20    Sports
Red Dead Redemption                           /games/boxart/full_496612AmericaFrontccc.jpg                          Rockstar Games                          N/A               N/A             N/A           15.00m           18th May 10     30th Oct 20    Action-Adventure
Theme Park                                    /games/boxart/full_3208979PALFrontccc.jpg                             Bullfrog Productions                    N/A               N/A             N/A           15.00m           01st Jun 94     26th Sep 22    Simulation
Mortal Kombat 11                              /games/boxart/full_6115038AmericaFrontccc.png                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           15.00m           23rd Apr 19     28th Oct 20    Fighting
Battlefield 3                                 /games/boxart/full_681264AmericaFrontccc.jpg                          Electronic Arts                         N/A               N/A             N/A           15.00m           25th Oct 11     23rd Oct 20    Shooter
Assassin's Creed IV: Black Flag               /games/boxart/full_2038262AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           15.00m           29th Oct 13     21st Oct 20    Action-Adventure
The Elder Scrolls Online                      /games/boxart/full_6701083AmericaFrontccc.png                         Bethesda Softworks                      N/A               N/A             N/A           15.00m           04th Apr 14     27th Oct 20    Role-Playing
Need for Speed: Underground                   /games/boxart/full_1321880AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           15.00m           17th Nov 03     20th Oct 20    Racing
Backyard Sports                               /games/boxart/full_9932423AmericaFrontccc.jpg                         Humongous Entertainment                 N/A               N/A             N/A           15.00m           01st Jan 97     03rd Mar 20    Sports
Gex                                           /games/boxart/full_1317024AmericaFrontccc.jpg                         BMG Interactive Entertainment           N/A               N/A             N/A           15.00m           01st Apr 95     01st Mar 20    Platform
Burnout                                       /games/boxart/full_3956824AmericaFrontccc.jpg                         EA Sports                               N/A               N/A             N/A           15.00m           01st Nov 01     23rd Feb 20    Racing
Famista                                       /games/boxart/full_222398AmericaFrontccc.jpg                          Namco                                   N/A               N/A             N/A           15.00m           10th Dec 86     22nd Feb 20    Sports
Just Cause                                    /games/boxart/full_3464874AmericaFrontccc.png                         Eidos Interactive                       N/A               N/A             N/A           15.00m           27th Sep 06     11th Feb 20    Shooter
Brain Age 2: More Training in Minutes a Day   /games/boxart/full_1039696AmericaFrontccc.jpg                         Nintendo                                N/A               8.0             N/A           14.88m           20th Aug 07     N/A            Misc
Sonic the Hedgehog                            /games/boxart/4697634ccc.jpg                                          Sega                                    N/A               N/A             N/A           15.00m           23rd Jun 91     N/A            Platform
Counter-Strike: Source                        /games/boxart/full_9030886AmericaFrontccc.jpg                         VU Games                                N/A               9.3             N/A           15.00m           16th Nov 04     N/A            Shooter
Dead Rising                                   /games/boxart/full_8424022AmericaFrontccc.png                         Capcom                                  N/A               N/A             N/A           15.00m           08th Aug 06     03rd Feb 20    Action-Adventure
Barbie                                        /games/boxart/full_3875347AmericaFrontccc.jpg                         Hi Tech Expressions                     N/A               N/A             N/A           15.00m           01st Dec 91     14th Mar 20    Action-Adventure
Call of Duty: Black Ops 3                     /games/boxart/full_4990510AmericaFrontccc.jpg                         Activision                              N/A               N/A             N/A           N/A              06th Nov 15     14th Jan 18    Shooter
Momotaro Dentetsu                             /games/boxart/full_9551799AmericaFrontccc.jpg                         Konami                                  N/A               N/A             N/A           15.50m           02nd Dec 88     09th Mar 20    Board Game
Pokémon: Let's Go, Pikachu/Eevee              /games/boxart/full_2669309AmericaFrontccc.jpg                         Nintendo                                8.0               N/A             N/A           15.07m           16th Nov 18     31st Jan 19    Role-Playing
Ring Fit Adventure                            /games/boxart/full_3483868AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           15.22m           18th Oct 19     18th Oct 19    Misc
Need for Speed: Carbon                        /games/boxart/full_368201AmericaFrontccc.jpg                          Electronic Arts                         N/A               N/A             N/A           15.60m           30th Oct 06     30th Aug 21    Racing
Pokémon Black / White Version                 /games/boxart/full_2983232AmericaFrontccc.jpg                         Nintendo                                8.9               8.6             9.0           15.64m           06th Mar 11     N/A            Role-Playing
Call of Duty: World at War                    /games/boxart/full_3111185AmericaFrontccc.png                         Activision                              N/A               N/A             N/A           15.70m           11th Nov 08     29th Nov 20    Shooter
Call of Duty 4: Modern Warfare                /games/boxart/full_8741983AmericaFrontccc.jpg                         Activision                              N/A               N/A             N/A           15.70m           05th Nov 07     14th Oct 20    Shooter
Borderlands 3                                 /games/boxart/full_814617AmericaFrontccc.jpg                          2K Games                                N/A               N/A             N/A           16.00m           13th Sep 19     27th Oct 20    Shooter
The Sims                                      /games/boxart/full_3148243AmericaFrontccc.png                         Electronic Arts                         N/A               N/A             N/A           16.00m           04th Feb 00     18th Oct 20    Simulation
The Witcher 3: Wild Hunt                      /games/boxart/full_5355846AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           15.90m           19th May 15     04th May 18    Role-Playing
Grand Theft Auto V                            /games/boxart/full_9218923AmericaFrontccc.jpg                         Rockstar Games                          N/A               N/A             N/A           N/A              17th Sep 13     N/A            Action
Grand Theft Auto: Vice City                   /games/boxart/827563ccc.jpg                                           Rockstar Games                          N/A               9.6             N/A           N/A              28th Oct 02     N/A            Action
Pokémon Ruby / Sapphire Version               /games/boxart/full_4771333AmericaFrontccc.png                         Nintendo                                N/A               8.8             N/A           16.22m           17th Mar 03     N/A            Role-Playing
Uncharted 4: A Thief's End                    /games/boxart/full_2804791AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               9.2             N/A           16.25m           10th May 16     23rd Sep 18    Action
Mass Effect                                   /games/boxart/full_6939273AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           16.00m           20th Nov 07     24th Feb 20    Role-Playing
Deus Ex                                       /games/boxart/full_4631072AmericaFrontccc.jpg                         Eidos Interactive                       N/A               N/A             N/A           16.40m           17th Jun 00     28th Feb 20    Role-Playing
FIFA 11                                       /games/boxart/full_3838462AmericaFrontccc.jpg                         EA Sports                               N/A               N/A             N/A           16.00m           28th Sep 10     15th Oct 20    Sports
Hitman                                        /games/boxart/full_7352027AmericaFrontccc.jpg                         Eidos Interactive                       N/A               N/A             N/A           16.59m           21st Nov 00     28th Feb 20    Action-Adventure
Pokémon X/Y                                   /games/boxart/full_9470074AmericaFrontccc.png                         Nintendo                                8.7               8.9             9.3           16.65m           12th Oct 13     06th Jan 18    Role-Playing
Metroid                                       /games/boxart/full_4646703AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           16.80m           15th Aug 87     19th Feb 20    Action-Adventure
Pokemon Mystery Dungeon                       /games/boxart/full_6071346AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           16.86m           18th Sep 06     03rd Mar 20    Role-Playing
Mario Tennis                                  /games/boxart/full_1252889AmericaFrontccc.png                         Nintendo                                N/A               N/A             N/A           16.53m           14th Aug 95     21st Feb 20    Sports
Zuma                                          /games/boxart/full_2834833AmericaFrontccc.jpg                         PopCap Games                            N/A               N/A             N/A           17.00m           12th Dec 03     30th Nov 20    Puzzle
Pokémon Sun/Moon                              /games/boxart/full_6532288JapanFrontccc.png                           Nintendo                                N/A               9.0             N/A           16.29m           18th Nov 16     03rd Aug 18    Role-Playing
Zuma                                          /games/boxart/full_1751770AmericaFrontccc.jpg                         PopCap Games                            N/A               N/A             N/A           17.00m           12th Dec 03     16th Feb 20    Puzzle
Persona                                       /games/boxart/full_4770276AmericaFrontccc.png                         Atlus                                   N/A               N/A             N/A           17.10m           01st Nov 96     03rd Feb 20    Role-Playing
RollerCoaster Tycoon                          /games/boxart/full_1474249AmericaFrontccc.jpg                         Hasbro Interactive                      N/A               N/A             N/A           17.23m           22nd Mar 99     11th Mar 20    Simulation
SoulCalibur                                   /games/boxart/full_2122515AmericaFrontccc.jpg                         Namco                                   N/A               N/A             N/A           17.00m           20th Dec 96     12th Mar 20    Fighting
Garry's Mod                                   /games/boxart/full_6480469AmericaFrontccc.jpg                         Valve                                   N/A               N/A             N/A           16.90m           29th Nov 06     25th Dec 19    Misc
Super Mario Bros. 3                           /games/boxart/4113056ccc.jpg                                          Nintendo                                N/A               N/A             N/A           17.28m           12th Feb 90     09th Aug 18    Platform
Pokémon Diamond / Pearl Version               /games/boxart/full_2730687AmericaFrontccc.jpg                         Nintendo                                N/A               8.6             N/A           17.67m           28th Apr 07     N/A            Role-Playing
Grand Theft Auto: Vice City                   /games/boxart/full_4540190AmericaFrontccc.jpg                         Rockstar Games                          N/A               N/A             N/A           17.50m           29th Oct 02     14th Oct 20    Action-Adventure
Need for Speed: Most Wanted                   /games/boxart/full_9476896AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           17.80m           15th Nov 05     20th Oct 20    Racing
Professor Layton                              /games/boxart/full_3999341AmericaFrontccc.png                         Nintendo                                N/A               N/A             N/A           18.00m           10th Feb 08     04th Feb 20    Adventure
Super Mario Land                              /games/boxart/3345559ccc.jpg                                          Nintendo                                N/A               N/A             N/A           18.14m           01st Aug 89     N/A            Platform
Ace Combat                                    /games/boxart/full_3731874AmericaFrontccc.jpg                         Namco                                   N/A               N/A             N/A           18.00m           09th Sep 95     11th Mar 20    Simulation
Midnight Club                                 /games/boxart/full_6597598AmericaFrontccc.jpeg                        Rockstar Games                          N/A               N/A             N/A           18.50m           26th Oct 00     15th Feb 20    Racing
Super Mario Party                             /games/boxart/full_4963230AmericaFrontccc.jpg                         Nintendo                                7.0               7.3             N/A           18.79m           05th Oct 18     19th Nov 18    Party
Call of Duty: Ghosts                          /games/boxart/full_1598916AmericaFrontccc.jpg                         Activision                              N/A               N/A             N/A           19.00m           05th Nov 13     14th Oct 20    Shooter
WarCraft                                      /games/boxart/full_2406458AmericaFrontccc.jpg                         Blizzard Entertainment                  N/A               N/A             N/A           19.00m           23rd Nov 94     21st Mar 20    Strategy
Mario Kart 7                                  /games/boxart/full_mario-kart-7_649AmericaFront.jpg                   Nintendo                                9.0               8.2             N/A           18.97m           04th Dec 11     N/A            Racing
Grand Theft Auto: San Andreas                 /games/boxart/3887656ccc.jpg                                          Rockstar Games                          N/A               9.5             N/A           17.30m           26th Oct 04     N/A            Action
Brain Age: Train Your Brain in Minutes a Day  /games/boxart/full_7749365AmericaFrontccc.jpg                         Nintendo                                N/A               8.1             N/A           19.01m           17th Apr 06     N/A            Misc
Grand Theft Auto V                            /games/boxart/full_5563178AmericaFrontccc.jpg                         Rockstar Games                          N/A               9.7             N/A           N/A              18th Nov 14     03rd Jan 18    Action
StarCraft                                     /games/boxart/full_6543830AmericaFrontccc.jpg                         Blizzard Entertainment                  N/A               N/A             N/A           19.10m           31st Mar 98     18th Feb 20    Strategy
Elden Ring                                    /games/boxart/full_6212393AmericaFrontccc.jpg                         Bandai Namco Entertainment              N/A               N/A             N/A           20.00m           25th Feb 22     28th Feb 22    Action-Adventure
Driver                                        /games/boxart/full_5215089AmericaFrontccc.png                         GT Interactive                          N/A               N/A             N/A           19.00m           30th Jun 99     09th Feb 20    Racing
Dying Light                                   /games/boxart/full_7756342AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           20.00m           27th Jan 15     22nd Jul 21    Action-Adventure
Simple                                        /games/boxart/full_196621AmericaFrontccc.jpg                          Agetec                                  N/A               N/A             N/A           20.00m           30th Nov 02     12th Jan 21    Misc
Horizon: Zero Dawn                            /games/boxart/full_1832037AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           20.00m           28th Feb 17     11th Feb 22    Action-Adventure
Stardew Valley                                /games/boxart/full_5231414AmericaFrontccc.png                         ConcernedApe                            N/A               N/A             N/A           20.00m           26th Feb 16     28th Dec 20    Simulation
God of War (2018)                             /games/boxart/full_3094030AmericaFrontccc.jpg                         Sony Interactive Entertainment          9.0               9.7             10.0          19.50m           20th Apr 18     26th May 22    Action
Fallout 4                                     /games/boxart/full_2133565AmericaFrontccc.jpg                         Bethesda Softworks                      N/A               N/A             N/A           20.00m           10th Nov 15     30th Oct 20    Role-Playing
Monster Hunter: World                         /games/boxart/full_588708AmericaFrontccc.jpg                          Capcom                                  N/A               N/A             N/A           20.00m           26th Jan 18     13th Oct 20    Role-Playing
Horizon                                       /games/boxart/full_4779170AmericaFrontccc.png                         Sony Interactive Entertainment          N/A               N/A             N/A           20.00m           28th Feb 17     24th Sep 20    Action-Adventure
Cyberpunk 2077                                /games/boxart/full_6073563AmericaFrontccc.jpg                         CD Projekt Red Studio                   N/A               N/A             N/A           20.00m           10th Dec 20     02nd Oct 22    Role-Playing
Watch Dogs                                    /games/boxart/full_3949511AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           20.00m           27th May 14     20th Mar 20    Action-Adventure
Lemmings                                      /games/boxart/full_58440AmericaFrontccc.jpg                           Psygnosis                               N/A               N/A             N/A           20.00m           14th Feb 91     14th Mar 20    Puzzle
Tom Clancy's The Division                     /games/boxart/full_7220955AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           20.00m           08th Mar 16     14th May 20    Shooter
Spyro                                         /games/boxart/full_3757250AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           20.00m           10th Sep 98     06th Mar 20    Platform
Frogger                                       /games/boxart/full_6800951AmericaFrontccc.jpg                         Konami                                  N/A               N/A             N/A           20.00m           23rd Oct 81     26th Feb 20    Action
Gundam                                        /games/boxart/full_6719679AmericaFrontccc.jpg                         Bandai                                  N/A               N/A             N/A           20.00m           02nd May 97     08th Mar 20    Action-Adventure
FIFA 19                                       /games/boxart/full_6417301AmericaFrontccc.jpg                         EA Sports                               N/A               N/A             N/A           20.00m           28th Sep 18     15th Oct 20    Sports
SimCity                                       /games/boxart/full_5807820AmericaFrontccc.jpg                         Maxis                                   N/A               N/A             N/A           20.00m           02nd Feb 89     17th Feb 20    Simulation
Stardew Valley                                /games/boxart/full_5016220AmericaFrontccc.png                         Chucklefish                             N/A               N/A             N/A           20.00m           26th Feb 16     12th Feb 20    Simulation
SingStar                                      /games/boxart/full_9213805AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           20.00m           21st May 04     18th Feb 20    Music
Prince of Persia                              /games/boxart/full_9159934AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           20.00m           03rd Aug 89     09th Feb 20    Action-Adventure
Marvel's Spider-Man                           /games/boxart/full_7960565AmericaFrontccc.jpg                         Sony Interactive Entertainment          8.0               9.1             N/A           20.00m           07th Sep 18     26th Sep 18    Action-Adventure
Rayman Raving Rabbids                         /games/boxart/full_6819048AmericaFrontccc.png                         Ubisoft                                 N/A               N/A             N/A           20.00m           19th Nov 06     10th Feb 20    Action-Adventure
Super Robot Wars                              /games/boxart/full_8004317AmericaFrontccc.jpg                         Bandai                                  N/A               N/A             N/A           20.06m           20th Apr 91     19th Feb 20    Role-Playing
Sniper Elite                                  /games/boxart/full_1692407AmericaFrontccc.png                         Rebellion Developments                  N/A               N/A             N/A           20.00m           18th Oct 05     13th Feb 20    Shooter
Pokémon Scarlet / Violet                      /games/boxart/full_1190583AmericaFrontccc.jpg                         Nintendo                                7.0               N/A             N/A           20.61m           18th Nov 22     31st May 22    Role-Playing
Super Mario World                             /games/boxart/full_1091265AmericaFrontccc.jpg                         Nintendo                                N/A               8.5             N/A           20.61m           13th Aug 91     10th Aug 18    Platform
Final Fantasy X/X-2                           /games/boxart/full_5431802AmericaFrontccc.jpg                         Square                                  N/A               N/A             N/A           20.80m           17th Dec 01     19th Oct 20    Role-Playing
Naruto: Ultimate Ninja Storm                  /games/boxart/full_666986AmericaFrontccc.jpg                          Namco Bandai Games                      N/A               N/A             N/A           20.80m           04th Nov 08     17th Oct 20    Fighting
The Lord of the Rings                         /games/boxart/full_8999556AmericaFrontccc.jpg                         Melbourne House                         N/A               N/A             N/A           20.17m           01st Nov 82     09th Mar 20    Action-Adventure
Grand Theft Auto V                            /games/boxart/full_6510540AmericaFrontccc.jpg                         Rockstar Games                          9.5               9.4             N/A           N/A              17th Sep 13     N/A            Action
Dynasty Warriors                              /games/boxart/full_6138740AmericaFrontccc.jpg                         KOEI                                    N/A               N/A             N/A           21.28m           30th Jun 97     24th Mar 20    Action
Castlevania                                   /games/boxart/full_6414177AmericaFrontccc.jpg                         Konami                                  N/A               N/A             N/A           21.63m           26th Sep 86     03rd Mar 20    Action-Adventure
Imagine                                       /games/boxart/full_8070460AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           21.00m           01st Oct 07     10th Feb 20    Simulation
Yu-Gi-Oh!                                     /games/boxart/full_5720962AmericaFrontccc.jpg                         Konami                                  N/A               N/A             N/A           21.80m           20th Mar 02     12th Jan 21    Strategy
Yakuza                                        /games/boxart/full_3825041AmericaFrontccc.jpg                         Sega                                    N/A               N/A             N/A           21.63m           05th Sep 06     02nd Mar 20    Action-Adventure
SpongeBob SquarePants                         /games/boxart/full_4448873AmericaFrontccc.jpg                         THQ                                     N/A               N/A             N/A           22.00m           15th Mar 01     07th Mar 20    Action-Adventure
Wii Fit Plus                                  /games/boxart/full_2716475AmericaFrontccc.jpg                         Nintendo                                N/A               8.0             N/A           21.13m           04th Oct 09     N/A            Sports
Luigi's Mansion                               /games/boxart/full_1468470AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           22.24m           18th Nov 01     20th Feb 20    Action-Adventure
Wii Fit                                       /games/boxart/full_3619557AmericaFrontccc.jpg                         Nintendo                                8.0               7.9             N/A           22.67m           21st May 08     N/A            Sports
Teenage Mutant Ninja Turtles                  /games/boxart/full_2048679AmericaFrontccc.jpg                         Konami                                  N/A               N/A             N/A           22.60m           12th May 89     16th Mar 20    Action-Adventure
God of War (2018)                             /games/boxart/full_8122622AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           23.00m           20th Apr 18     23rd Nov 22    Action
Call of Duty: Modern Warfare 2                /games/boxart/full_2943830AmericaFrontccc.png                         Activision                              N/A               N/A             N/A           22.70m           10th Nov 09     14th Oct 20    Shooter
Pokémon Gold / Silver Version                 /games/boxart/full_1344180AmericaFrontccc.png                         Nintendo                                N/A               9.2             N/A           23.10m           14th Oct 00     N/A            Role-Playing
Terraria                                      /games/boxart/full_terraria_497AmericaFront.jpg                       Re-Logic                                N/A               8.8             N/A           23.00m           16th May 11     19th Mar 18    Platform
Microsoft Flight Simulator                    /games/boxart/full_4043724AmericaFrontccc.jpg                         Microsoft                               N/A               N/A             N/A           22.20m           01st Nov 82     06th Oct 22    Simulation
Petz                                          /games/boxart/full_4637181AmericaFrontccc.jpg                         PF.Magic                                N/A               N/A             N/A           24.00m           01st Jan 95     10th Feb 20    Simulation
Kinect Adventures!                            /games/boxart/full_kinect-adventures_386AmericaFront.jpg              Microsoft Game Studios                  6.2               6.7             N/A           24.00m           04th Nov 10     29th Sep 18    Party
Jikkyo Powerful Pro Yakyu                     /games/boxart/full_7179968AmericaFrontccc.jpg                         Konami                                  N/A               N/A             N/A           24.40m           11th Mar 94     26th Feb 20    Sports
Batman: Arkham                                /games/boxart/full_1400473AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           24.81m           25th Aug 09     12th Mar 20    Action-Adventure
Nintendogs                                    /games/boxart/full_4870931AmericaFrontccc.jpg                         Nintendo                                N/A               8.4             N/A           23.96m           23rd Aug 05     N/A            Simulation
Mario Kart DS                                 /games/boxart/full_9551652AmericaFrontccc.jpg                         Nintendo                                N/A               9.1             9.4           23.60m           14th Nov 05     N/A            Racing
Tiger Woods PGA Tour                          /games/boxart/full_2419769AmericaFrontccc.jpg                         EA Sports                               N/A               N/A             N/A           25.00m           31st Aug 98     24th Feb 20    Sports
Puyo Puyo                                     /games/boxart/full_9786892AmericaFrontccc.png                         Sega                                    N/A               N/A             N/A           25.00m           11th Feb 02     07th Feb 20    Puzzle
Grand Theft Auto IV                           /games/boxart/full_7939841AmericaFrontccc.jpg                         Rockstar Games                          N/A               N/A             N/A           25.00m           02nd Dec 08     13th Oct 20    Action-Adventure
Super Mario Odyssey                           /games/boxart/full_1659701AmericaFrontccc.jpg                         Nintendo                                N/A               9.9             N/A           25.12m           27th Oct 17     19th Nov 18    Platform
Rayman                                        /games/boxart/full_5573500AmericaFrontccc.png                         Ubisoft                                 N/A               N/A             N/A           26.00m           19th Sep 95     10th Feb 20    Platform
FIFA 18                                       /games/boxart/full_6316214AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           26.40m           26th Sep 17     15th Oct 20    Sports
Pokémon Sword / Shield                        /games/boxart/full_4549099AmericaFrontccc.png                         Nintendo                                7.0               N/A             N/A           25.68m           15th Nov 19     21st Nov 19    Role-Playing
Borderlands 2                                 /games/boxart/full_6210207AmericaFrontccc.png                         2K Games                                N/A               N/A             N/A           27.00m           18th Sep 12     27th Oct 20    Shooter
Yoshi                                         /games/boxart/full_1925973AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           27.31m           01st Jun 92     21st Feb 20    Platform
Human: Fall Flat                              /games/boxart/full_1508029AmericaFrontccc.jpg                         Curve Digital                           N/A               N/A             N/A           25.00m           22nd Jul 16     11th Feb 21    Platform
Tales of                                      /games/boxart/full_8149048AmericaFrontccc.jpg                         Namco                                   N/A               N/A             N/A           27.75m           30th Sep 98     06th Feb 20    Role-Playing
Portal                                        /games/boxart/full_6143069AmericaFrontccc.jpg                         Valve                                   N/A               N/A             N/A           27.03m           10th Oct 07     19th Feb 20    Puzzle
Grand Theft Auto: San Andreas                 /games/boxart/full_8875022AmericaFrontccc.jpg                         Rockstar Games                          N/A               N/A             N/A           27.50m           26th Oct 04     13th Oct 20    Action-Adventure
Devil May Cry                                 /games/boxart/full_6662824AmericaFrontccc.png                         Capcom                                  N/A               N/A             N/A           28.00m           16th Oct 01     03rd Feb 20    Action
Naruto: Ultimate Ninja                        /games/boxart/full_2846971AmericaFrontccc.jpg                         Bandai Namco Entertainment              N/A               N/A             N/A           28.11m           26th Jun 06     05th Feb 20    Fighting
Farming Simulator                             /games/boxart/full_3483705AmericaFrontccc.jpg                         Astragon                                N/A               N/A             N/A           28.00m           14th Apr 08     03rd Mar 20    Simulation
Duck Hunt                                     /games/boxart/full_6570468AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           28.31m           15th Oct 85     N/A            Shooter
Nintendogs                                    /games/boxart/full_905745AmericaFrontccc.jpg                          Nintendo                                N/A               N/A             N/A           28.64m           22nd Aug 05     20th Feb 20    Simulation
The Legend of Zelda: Breath of the Wild       /games/boxart/full_4436858AmericaFrontccc.png                         Nintendo                                N/A               9.9             10.0          29.00m           03rd Mar 17     19th Nov 18    Action-Adventure
Wii Play                                      /games/boxart/full_857142AmericaFrontccc.png                          Nintendo                                N/A               N/A             N/A           29.66m           12th Feb 07     20th Feb 20    Party
Dying Light                                   /games/boxart/full_8781914AmericaFrontccc.jpg                         Techland                                N/A               N/A             N/A           30.00m           27th Jan 15     22nd Apr 22    Action-Adventure
Splatoon                                      /games/boxart/full_7347977AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           28.38m           29th May 15     16th Feb 20    Shooter
Wii Play                                      /games/boxart/full_6165969AmericaFrontccc.jpg                         Nintendo                                5.3               5.9             4.5           28.02m           12th Feb 07     N/A            Misc
Diablo III                                    /games/boxart/full_978121AmericaFrontccc.png                          Blizzard Entertainment                  N/A               N/A             N/A           30.00m           15th May 15     29th Oct 20    Role-Playing
Call of Duty: Modern Warfare                  /games/boxart/full_2775420AmericaFrontccc.jpg                         Activision                              N/A               N/A             N/A           30.00m           25th Oct 19     29th Nov 20    Shooter
Call of Duty: Black Ops                       /games/boxart/full_3301411AmericaFrontccc.png                         Activision                              N/A               N/A             N/A           30.00m           09th Nov 10     14th Oct 20    Shooter
Mario & Sonic at the Olympic Games            /games/boxart/full_3324860AmericaFrontccc.jpg                         Sega                                    N/A               N/A             N/A           30.00m           06th Nov 07     11th Mar 20    Sports
The Elder Scrolls V: Skyrim                   /games/boxart/full_5830479AmericaFrontccc.png                         Bethesda Softworks                      N/A               N/A             N/A           30.00m           10th Nov 11     27th Oct 20    Role-Playing
Command & Conquer                             /games/boxart/full_5898823AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           30.00m           26th Sep 95     23rd Feb 20    Strategy
Call of Duty: Modern Warfare 3                /games/boxart/full_2843828AmericaFrontccc.png                         Activision                              N/A               N/A             N/A           30.00m           08th Nov 11     15th Aug 21    Shooter
New Super Mario Bros. Wii                     /games/boxart/full_1410872AmericaFrontccc.jpg                         Nintendo                                9.1               8.6             9.2           30.32m           15th Nov 09     N/A            Platform
Super Smash Bros. Ultimate                    /games/boxart/full_8608465AmericaFrontccc.jpg                         Nintendo                                9.0               9.4             9.7           30.44m           07th Dec 18     02nd Oct 22    Fighting
The Legend of Zelda: Breath of the Wild       /games/boxart/full_370962AmericaFrontccc.jpg                          Nintendo                                N/A               N/A             N/A           30.70m           03rd Mar 17     07th Feb 23    Action-Adventure
Tetris                                        /games/boxart/3740960ccc.jpg                                          Nintendo                                N/A               N/A             N/A           30.26m           31st Jul 89     N/A            Puzzle
Ratchet & Clank                               /games/boxart/full_8836123AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           30.81m           04th Nov 02     10th Mar 20    Shooter
Age of Empires                                /games/boxart/full_6456368AmericaFrontccc.jpg                         Microsoft                               N/A               N/A             N/A           30.82m           15th Oct 97     12th Mar 20    Strategy
Call of Duty: Black Ops II                    /games/boxart/full_9091737AmericaFrontccc.png                         Activision                              N/A               N/A             N/A           31.00m           13th Nov 12     15th Aug 21    Shooter
Tom Clancy's Splinter Cell                    /games/boxart/full_9580557AmericaFrontccc.jpg                         Ubisoft                                 N/A               N/A             N/A           31.00m           17th Nov 02     08th Feb 20    Action-Adventure
New Super Mario Bros.                         /games/boxart/full_2916260AmericaFrontccc.jpg                         Nintendo                                N/A               9.1             8.1           30.80m           15th May 06     N/A            Platform
Tony Hawk's                                   /games/boxart/full_5904326AmericaFrontccc.jpg                         Activision                              N/A               N/A             N/A           31.12m           29th Sep 99     09th Mar 20    Sports
Saints Row                                    /games/boxart/full_3958597AmericaFrontccc.jpg                         THQ                                     N/A               N/A             N/A           32.00m           29th Aug 06     10th Mar 20    Sandbox
